,title,duration
202,203,128 minutes[1]
203,204,87 minutes
204,205,21 minutes
205,206,16 minutes
206,207,120 minutes[1]
207,208,166 minutes[1]
208,209,128 minutes[1]
209,210,152 minutes
210,211,97 minutes[1]
211,212,124 minutes[1]
212,213,110 minutes
213,214,130 minutes
214,215,97 minutes
215,216,39 minutes
216,217,94 minutes[1]
217,218,14 minutes
218,219,12 minutes
219,220,122 minutes
220,221,115 minutes[1]
221,222,158 minutes
222,223,140 minutes[1]
223,224,123 minutes[3]
224,225,120 minutes
225,226,111 minutes
226,227,96 minutes
227,228,116 minutes[2]
228,229,113 minutes[1]
229,230,114 minutes
230,231,106 minutes
231,232,33 minutes
232,233,86 minutes[2]
233,234,31 minutes
234,235,98 minutes
235,236,40 minutes
236,237,151 minutes[1]
237,238,120 minutes[1]
238,239,130 minutes[2]
239,240,102 minutes
240,241,97 minutes[1]
241,242,144 minutes
242,243,103 minutes[2]
243,244,140 minutes[1]
244,245,150 minutes[1]
245,246,15 minutes
246,247,108 minutes
247,248,123 minutes[1]
248,249,137 minutes[1]
249,250,123 minutes
250,251,21 minutes
251,252,39 minutes
252,253,112 minutes[2]
253,254,134 minutes[1]
254,255,145 minutes[1]
255,256,188 minutes[1]
256,257,114 minutes
257,258,136 minutes
258,259,129 minutes
259,260,143 minutes
260,261,116 minutes[1]
261,262,128 minutes[2]
262,263,86 minutes[1]
263,264,27 minutes
264,265,Sin datos
265,266,39 minutes
266,267,95 minutes
267,268,85 minutes[3]
268,269,132 minutes
269,270,170 minutes
270,271,152 minutes
271,272,115 minutes[2]
272,273,101 minutes
273,274,127 minutes[1]
274,275,103 minutes
275,276,127 minutes[3]
276,277,108 minutes
277,278,126 minutes[2]
278,279,125 minutes
279,280,85 minutes
280,281,40 minutes
281,282,26 minutes
282,283,14 minutes[2]
283,284,201 minutes[2]
284,285,138 minutes[2]
285,286,138 minutes[1]
286,287,154 minutes
287,288,102 minutes[2]
288,289,100 minutes[1]
289,290,99 minutes
290,291,40 minutes
291,292,109 minutes
292,293,22 minutes
293,294,39 minutes
294,295,107 minutes
295,296,113 minutes[1]
296,297,150 minutes[4]
297,298,179 minutes[2]
298,299,123 minutes
299,300,114 minutes[1]
300,301,117 minutes
301,302,115 minutes
302,303,112 minutes
303,304,30 minutes
304,305,125 minutes[1]
305,306,141 minutes
306,307,5 minutes
307,308,34 minutes
308,309,120 minutes
309,310,111 minutes[1]
310,311,135 minutes
311,312,178 minutes[2]
312,313,128 minutes[3]
313,314,144 minutes[1]
314,315,137 minutes
315,316,92 minutes[1]
316,317,183 minutes[1]
317,318,90 minutes[1]
318,319,90 minutes[5]
319,320,122 minutes
320,321,111 minutes112 minutes (Unrated)
321,322,40 minutes
322,323,3 minutes
323,324,98 minutes
324,325,111 minutes
325,326,40 minutes
326,327,155 minutes[2]
327,328,120 minutes[1][2]
328,329,147 minutes
329,330,130 minutes
330,331,122 minutes
331,332,111 minutes[5]
332,333,105 minutes[1]
333,334,116 minutes
334,335,122 minutes
335,336,8 minutes 30 seconds
336,337,122 minutes
337,338,35 minutes
338,339,35 minutes
339,340,122 minutes[1]
340,341,136 minutes[1]
341,342,125 minutes[1]
342,343,160 minutes[1]
343,344,106 minutes[3]
344,345,118 minutes[1]
345,346,88 minutes[2]
346,347,94 minutes
347,348,131 minutes
348,349,20 minutes
349,350,30 minutes
350,351,Sin datos
351,352,127 minutes
352,353,"104 minutes
101 minutes[1] (US cut)"
353,354,123 minutes[1]
354,355,170 minutes
355,356,116 minutes[1]
356,357,123 minutes
357,358,105 minutes
358,359,99 minutes[6]
359,360,114 minutes
360,361,113 minutes
361,362,40 minutes
362,363,87 minutes
363,364,11 minutes
364,365,7 minutes 15 seconds
365,366,195 minutes[3]
366,367,126 minutes[1]
367,368,138 minutes
368,369,139 minutes
369,370,91 minutes[2]
370,371,98 minutes
371,372,26 minutes
372,373,122 minutes
373,374,5 minutes
374,375,28 minutes
375,376,120 minutes
376,377,162 minutes[2]
377,378,98 minutes[1]
378,379,105 minutes
379,380,134 minutes[2]
380,381,139 minutes
381,382,145 minutes[1]
382,383,120 minutes[1]
383,384,135 minutes
384,385,110 minutes
385,386,111 minutes (original)105 minutes (US version)
386,387,96 minutes[1]
387,388,11:30 min.
388,389,89 minutes
389,390,35 minutes
390,391,22 minutes
391,392,178 minutes
392,393,140 minutes
393,394,81 minutes[2]
394,395,106 minutes[1]
395,396,117 min.
396,397,92 minutes[1]
397,398,136 minutes[2]
398,399,108 minutes
399,400,122 minutes
400,401,111 minutes
401,402,95 minutes[1]
402,403,117 minutes
403,404,30 minutes[1]
404,405,39 minutes
405,406,40 minutes
406,407,102 minutes
407,408,81 minutes[1]
408,409,142 minutes
409,410,88 minutes[1]
410,411,116 minutes
411,412,127 minutes[1]
412,413,154 minutes[1]
413,414,98 minutes
414,415,110 minutes[2]
415,416,133 minutes
416,417,38 minutes
417,418,23 minutes
418,419,105 minutes
419,420,135 minutes
420,421,23 minutes
421,422,103 minutes[2]
422,423,Sin datos
423,424,101 minutes
424,425,195 minutes[1]
425,426,117 minutes
426,427,127 minutes[1]
427,428,126 minutes
428,429,130 minutes
429,430,139 minutes
430,431,29 minutes[1]
431,432,109 minutes
432,433,88 minutes
433,434,120 minutes[1]
434,435,12 minutes
435,436,30 minutes
436,437,131 minutes[1]
437,438,142 minutes[2][3]
438,439,128 minutes
439,440,90 minutes
440,441,111 minutes[1]
441,442,156 minutes
442,443,123 minutes
443,444,159 minutes
444,445,119 minutes[1]
445,446,91 minutes
446,447,30 minutes
447,448,112 minutes[2]
448,449,104 minutes[1]
449,450,8 minutes
450,451,7 minutes [1][2]
451,452,118 minutes[1]
452,453,137 minutes
453,454,136 minutes[1]
454,455,188 minutes[1]205 minutes (director's cut)
455,456,84 minutes[4]
456,457,129 minutes
457,458,137 minutes
458,459,93 minutes
459,460,7 minutes
460,461,96 minutes
461,462,31 minutes
462,463,114 minutes
463,464,27 minutes
464,465,181 minutes[1]
465,466,105 minutes[1]
466,467,127 minutes[3]
467,468,146 minutes[1]
468,469,135 minutes[1]
469,470,111 minutes
470,471,137 minutes
471,472,100 minutes
472,473,110 minutes
473,474,28 minutes
474,475,10 minutes
475,476,10 minutes
476,477,107 minutes[1]
477,478,113 minutes
478,479,99 minutes
479,480,122 minutes
480,481,145 minutes[2]
481,482,103 minutes[2]
482,483,83 minutes[1]
483,484,128 minutes[1]
484,485,140 minutes[2]
485,486,128 minutes
486,487,137 minutes[1]
487,488,26 minutes
488,489,79 minutes
489,490,155 minutes173 minutes (director's cut)
490,491,11 minutes
491,492,126 minutes
492,493,7 minutes
493,494,134 minutes[1]
494,495,119 minutes
495,496,104 minutes[2]
496,497,128 minutes
497,498,113 minutes
498,499,121 minutes
499,500,108 minutes[1]
500,501,157 minutes[1]
501,502,111 minutes
502,503,29 minutes
503,504,92 minutes
504,505,160 minutes
505,506,267 minutes[1]
506,507,117 minutes
507,508,5 minutes
508,509,Sin datos
509,510,163 minutes[1]
510,511,102 minutes
511,512,119 minutes
512,513,102 minutes
513,514,100 minutes[1]
514,515,110 minutes
515,516,120 minutes
516,517,30 minutes
517,518,23 minutes
518,519,56 minutes
519,520,126 minutes
520,521,29 minutes
521,522,102 minutes
522,523,120 minutes[1]
523,524,117 minutes[2]
524,525,106 minutes
525,526,137 minutes
526,527,125 minutes[2]
527,528,114 minutes
528,529,120 minutes[2]
529,530,110 minutes
530,531,133 minutes
531,532,114 minutes
532,533,144 minutes
533,534,57 minutes
534,535,96 minutes
535,536,7 minutes
536,537,8 minutes
537,538,30 minutes
538,539,161 minutes
539,540,112 minutes
540,541,117 minutes[3]
541,542,129 minutes
542,543,116 minutes
543,544,121 minutes[1]
544,545,162 minutes
545,546,112 minutes
546,547,108 minutes
547,548,136 minutes
548,549,8 minutes
549,550,70 minutes
550,551,120 minutes
551,552,24 minutes
552,553,29 minutes
553,554,161 minutes[1]
554,555,141 minutes
555,556,163 minutes
556,557,111 minutes
557,558,118 minutes[1]
558,559,5 minutes
559,560,110 minutes
560,561,111 minutes[2]
561,562,30 minutes
562,563,90 minutes
563,564,14 minutes
564,565,86 minutes
565,566,123 minutes
566,567,132 minutes[1]
567,568,192 minutes[1]
568,569,"TV miniseries:312 minutes
Theatrical film:188 minutes[7]"
569,570,92 minutes
570,571,134 min (theatrical cut)[1]  137 min (director's cut)
571,572,97 minutes[1]
572,573,22 minutes
573,574,29 minutes
574,575,60 minutes
575,576,4 minutes
576,577,114 minutes[1]
577,578,132 minutes[1]
578,579,191 minutes[1]
579,580,114 minutes[2]
580,581,124 minutes
581,582,116 minutes
582,583,132 minutes
583,584,151 minutes[2]
584,585,122 minutes
585,586,26 minutes
586,587,90 minutes
587,588,25 minutes
588,589,8 minutes
589,590,87 minutes
590,591,100 minutes
591,592,124 minutes
592,593,115 minutes
593,594,195 minutes[1]
594,595,109 minutes
595,596,97 minutes
596,597,97 minutes[1]
597,598,30 minutes
598,599,15 minutes
599,600,90 minutes
600,601,144 minutes
601,602,Sin datos
602,603,124 minutes
603,604,186 minutes
604,605,129 minutes[2]
605,606,133 minutes[2]
606,607,95 minutes
607,608,124 minutes
608,609,124 minutes
609,610,33 minutes
610,611,3 minutes
611,612,84 minutes
612,613,26 minutes
613,614,148 minutes
